definition,preferred_spelling,phonetic_spelling,alt_phon_spell,kanji_spelling,word_class_code,conjugation_kind_code,transitivity,jlpt_level,lesson_codes,tags,id,row_num,date_added
order; request,ご注文,ごちゅもん,,ご注文,NOUN,,,,,,b0f23319-1e7e-5eee-aa4c-1181b78ebeec,409,2022-08-12
witch,魔女,まじょ,,魔女,NOUN,,,,,,c495dd60-9438-5d9f-892e-6b37d6d88c4a,410,2022-08-12
demon; ogre,鬼,おに,,鬼,NOUN,,,3,,,52f192e3-6628-546b-80b5-f63547b440d5,411,2022-08-12
devine spirit,神,かみ,,神,NOUN,,,3,,,63f02942-2ba9-5ff6-aa84-be6ecd6f209d,412,2022-08-12
travel; trip; journey,旅,たび,,旅,NOUN,,,3,,,abbcc24b-a635-5aeb-b6ef-387d88099538,413,2022-08-12
mandarin orange,みかん,みかん,,蜜柑,NOUN,,,,{GENKI3_L14},{food},5050503b-7db6-47be-bef8-66ce9bd0088b,414,2022-10-06
firefly,ほたる,ほたる,,蛍,NOUN,,,1,,{animal},4a6ab2b4-2801-4faf-89c5-87a4651ec4d9,415,2022-10-06
small candy store,駄菓子屋,だがしや,,駄菓子屋,NOUN,,,,,,f5b5faa4-94d4-4ecc-896c-49e6bb18144d,416,2022-10-06
light music,軽音楽,けいおんがく,,軽音楽,NOUN,,,1,,,aeac8e75-ade1-55a0-b4d0-4203dc90df45,417,2022-08-19
club; department (of company),部,ぶ,,部,NOUN,,,1,,,300bed58-ddab-5420-8396-3147573388c3,418,2022-08-12
stroll,散歩,さんぽ,,散歩,NOUN,,,5,,,3e15a011-580f-46c7-a59c-b17b6cb530a4,419,2022-10-06
small child; cute small version of someone,チビ,ちび,,,NOUN,,,,,,e2a1e5ef-c9d8-5554-a912-e6014d2c0f35,420,2022-08-13
cute,かわいい,かわいい,,可愛い,ADJECTIVE,I_ADJECTIVE,,5,,,2c0b911e-ac72-5c04-bfd3-ebcd9e988dee,421,2022-08-13
counter for people,〜人,〜にん,,〜人,COUNTER,,,,{GENKI3_L07},,356f27dd-22ca-4e95-b637-6ee6c52855f2,422,2022-09-26
1 person; alone; single,一人,ひとり,,一人,NOUN,,,5,{GENKI3_L07},,63328d5a-cff9-459a-bc29-b0ce33776a95,423,2022-09-26
two people,二人,ふたり,,二人,NOUN,,,5,{GENKI3_L07},,2ef7fa68-00e9-438c-8a78-e8e1b10cd274,424,2022-09-26
heated table,こたつ,こたつ,,,NOUN,,,1,,,281d7359-80a0-519d-9c57-504f35bfd5ee,425,2022-08-13
Japanese bedding,布団,ふとん,,布団,NOUN,,,4,,,c3f5ef65-8025-5f56-b5e1-efc61a1c81bc,426,2022-08-13
to collect; to assemble; to gather,集める,あつめる,,集める,VERB,ICHIDAN_VERB,,4,{GENKI3_L16},,49dcb689-b576-56c7-b9f6-1da98acb2667,427,2022-08-22
cheers,乾杯,かんぱい,,乾杯,NOUN,,,2,{GENKI3_L08},,4f3a6c3d-94a5-54c7-bd5c-c16d008d8cf7,428,2022-08-27
laundry,洗濯,せんたく,,洗濯,NOUN,,,5,,,4a03f495-c343-5e8f-a1fe-fd1b6624f63a,429,2022-08-29
starry sky,星空,ほしぞら,,星空,NOUN,,,,,,4126b8e5-2e98-52ad-b637-7bd8ed566781,430,2022-08-29
"lively, energetic; well, healthy",元気,げんき,,元気,ADJECTIVE,NA_ADJECTIVE,,5,{GENKI3_L05},,ee877e49-b3e4-5e51-a969-c620c8407809,431,2022-09-02
"desire, wish; request",願い,ねがい,,願い,NOUN,,,3,{DUO_U03},,4b7cb2ac-7b91-54eb-86e3-2366f5e802bb,432,2022-09-02
request; favor to ask,お願い,おねがい,,お願い,NOUN,,,5,,,689e561f-b2a7-44ca-bac7-0a7dbcf68d0a,433,2022-11-09
to request; to ask a favor,お願いする,おねがいする,,お願いする,VERB,SURU_VERB,,5,,,1d9fa8be-94a8-565a-93a3-973da9e759fa,434,2022-09-02
mochi,もち,もち,,餅,NOUN,,,2,,,59f26319-a287-5600-95b4-714e7fe21547,435,2022-09-07
autum colors; red leaves,紅葉,こうよう,,紅葉,NOUN,,,2,,,43dce298-e577-5174-8f14-ecb525e67d38,436,2022-09-07
Japanese maple,紅葉,もみじ,,紅葉,NOUN,,,2,,,2100c24a-9ffb-436a-ab74-8f56ef0e338a,437,2022-09-07
excited; trembling; getting nervous,わくわく,わくわく,,,ADVERB,,,,,,25032880-e2a8-54f3-8681-22172c54b84a,438,2022-09-07
being too late; losing one's final chance,手遅れ,ておくれ,,手遅れ,NOUN,,,1,,,94bb3768-7278-5e58-80cb-f5c809726ef1,439,2022-09-10
food(s),食べ物,たべもの,,食べ物,NOUN,,,5,{GENKI3_L05},,cdb482ec-df51-5e19-8c72-08a8cb1c0a3e,440,2022-09-07
drink(s),飲み物,のみもの,,飲み物,NOUN,,,5,{GENKI3_L05},,cf8e1efb-b036-56e8-ad12-5e06f9b26bde,441,2022-09-07
holiday; day off; absence,休み,やすみ,,休み,NOUN,,,5,{GENKI3_L05},,5d5eb0f1-6cb0-5383-8797-49330b70b84c,442,2022-09-07
travel; trip; journey,旅行,りょこう,,旅行,NOUN,,,5,{GENKI3_L05},,885a798b-20d9-5279-ba34-8324db75f028,443,2022-09-07
sea,海,うみ,,海,NOUN,,,5,{GENKI3_L05},,b569a875-d88f-5e2a-b063-0f3f29f06094,444,2022-09-07
waterway; channel,澪,みお,,澪,NOUN,,,,,,b0188056-54cc-55e1-8cbd-418370ed533d,445,2022-09-07
surfing,サーフィン,さあふぃん,,,NOUN,,,,{GENKI3_L05},,ed499008-cde3-543e-a0d9-693e001b321c,446,2022-09-07
souvenir,お土産,おみやげ,,お土産,NOUN,,,4,{GENKI3_L05},,fa1bca4b-31a8-5488-a6d9-5b5a3fe927b8,447,2022-09-07
bus,バス,ばす,,,NOUN,,,5,{GENKI3_L05},,2d402f9c-7727-5394-b6d5-8767371af073,448,2022-09-07
weather,天気,てんき,,天気,NOUN,,,5,{GENKI3_L05},,4c1ba9fa-920a-5646-8869-d84d39e842a3,449,2022-09-07
homework,宿題,しゅくだい,,宿題,NOUN,,,5,{GENKI3_L05},,a1bfcd70-a853-50b0-955b-32fe355c2700,450,2022-09-07
test,テスト,てすと,,,NOUN,,,5,{GENKI3_L05},,dee18a86-fd39-54bc-9a77-ee24ba39c17c,451,2022-09-07
birthday,誕生日,たんじょうび,,誕生日,NOUN,,,5,{GENKI3_L05},,6d4b95c5-1f5a-50e0-aa8b-5558e8211486,452,2022-09-07
size L,Ｌサイズ,えるさいず,,,NOUN,,,1,{GENKI3_L05},,deb66e89-8251-5b46-9bb1-b1338aaa4e62,453,2022-09-07
new,新しい,あたらしい,,新しい,ADJECTIVE,I_ADJECTIVE,,5,{GENKI3_L05},,3ea98874-cf05-5e92-b8f2-45751b667e83,454,2022-09-07
old (thing); ancient,古い,ふるい,,古い,ADJECTIVE,I_ADJECTIVE,,5,{GENKI3_L05},,9ab38a71-325c-5f1b-b0aa-d9c5ce43b888,455,2022-09-07
hot weather,暑い,あつい,,暑い,ADJECTIVE,I_ADJECTIVE,,5,{GENKI3_L05},,21d6fb85-2f85-5a8c-a29b-375f90b9803e,456,2022-09-07
cold weather,寒い,さむい,,寒い,ADJECTIVE,I_ADJECTIVE,,5,{GENKI3_L05},,dbeefce5-aaa6-5694-985d-6771413fa0fd,457,2022-09-07
hot thing,熱い,あつい,,熱い,ADJECTIVE,I_ADJECTIVE,,5,{GENKI3_L05},,9a7ac507-ea08-5187-ad27-04615036db05,458,2022-09-07
busy people/days,忙しい,いそがしい,,忙しい,ADJECTIVE,I_ADJECTIVE,,5,{GENKI3_L05},,36bbdf48-c6cf-502b-85a2-26bec94171c5,459,2022-09-07
large,大きい,おおきい,,大きい,ADJECTIVE,I_ADJECTIVE,,5,{GENKI3_L05},,9c26c29d-c047-519d-bd01-6eb035e74752,460,2022-09-07
small,小さい,ちいさい,,小さい,ADJECTIVE,I_ADJECTIVE,,5,{GENKI3_L05},,bbdc1a0a-1d15-5484-89ac-e3594f2d0e70,461,2022-09-07
interesting; funny,面白い,おもしろい,,面白い,ADJECTIVE,I_ADJECTIVE,,5,{GENKI3_L05},,14eb54bb-8d5f-50c2-b2e7-9b89a32a18f6,462,2022-09-07
boring,つまらない,つまらない,,詰まらない,ADJECTIVE,I_ADJECTIVE,,5,{GENKI3_L05},,2e46c8d1-bb5e-5c96-9e63-b1d4fc035da1,463,2022-09-07
easy (problem),やさしい,やさしい,,易しい,ADJECTIVE,I_ADJECTIVE,,5,{GENKI3_L05},,ce5f2a5f-821f-5a5f-b5e5-6b59658ee781,464,2022-09-07
kind (person),優しい,やさしい,,優しい,ADJECTIVE,I_ADJECTIVE,,4,,,f0506ed6-e8ae-5d80-90bc-d527638693f8,465,2022-09-07
difficult,難しい,むずかしい,,難しい,ADJECTIVE,I_ADJECTIVE,,5,{GENKI3_L05},,835597f8-7be1-561d-8ef8-9c73316e9b49,466,2022-09-07
good-looking; cool,かっこいい,かっこいい,,格好いい,ADJECTIVE,YOI_ADJECTIVE,,,{GENKI3_L05},,46305ec7-a809-547e-bb67-8533f9059b26,467,2022-09-07
frightening,怖い,こわい,,怖い,ADJECTIVE,I_ADJECTIVE,,4,{GENKI3_L05},,b28e9f01-a176-5cfa-b00b-e1fd1552f02d,468,2022-09-07
fun,楽しい,たのしい,,楽しい,ADJECTIVE,I_ADJECTIVE,,5,{GENKI3_L05},,03824733-2e97-5d1e-8705-2520abf86985,469,2022-09-07
inexpensive; cheap (thing),安い,やすい,,安い,ADJECTIVE,I_ADJECTIVE,,5,{GENKI3_L05},,a1c2f5e9-df18-5d9f-83db-7d30491b502d,470,2022-09-07
disgusted with; to dislike,嫌い,きらい,,嫌い,ADJECTIVE,NA_ADJECTIVE,,5,{GENKI3_L05},,cad48907-4908-5de4-8ee7-0c78c98ab755,471,2022-09-07
very fond of; to love,大好き,だいすき,,大好き,ADJECTIVE,NA_ADJECTIVE,,5,{GENKI3_L05},,f12880cb-86c7-5720-8773-a1cdfbe838f7,472,2022-09-07
to hate,大嫌い,だいきらい,,大嫌い,ADJECTIVE,NA_ADJECTIVE,,,{GENKI3_L05},,f610a74c-6229-5d19-b214-c183c4a1d92b,473,2022-09-07
neither like nor dislike it,好きでも嫌いでもないです,すきでもきらいでもないです,,好きでも嫌いでもないです,EXPRESSION,,,,{GENKI3_L05},,439064cf-bf88-40b4-91ae-12440a980aec,474,2022-11-12
beautiful; clean,きれい,きれい,,綺麗,ADJECTIVE,NA_ADJECTIVE,,5,{GENKI3_L05},,8218a74b-27ab-5310-80f8-8cca81609f73,475,2022-09-07
quiet,静か,しずか,,静か,ADJECTIVE,NA_ADJECTIVE,,5,{GENKI3_L05},,489610bc-c907-5de6-a0e7-acbeba740f3d,476,2022-09-07
lively,賑やか,にぎやか,,賑やか,ADJECTIVE,NA_ADJECTIVE,,5,{GENKI3_L05},,96e3bcd4-e542-5d84-8576-c33f94149bc8,477,2022-09-07
not busy; free (time),暇,ひま,,暇,ADJECTIVE,NA_ADJECTIVE,,5,{GENKI3_L05},,585dccbc-01ad-5691-95c0-a5d402db619d,478,2022-09-07
to swim,泳ぐ,およぐ,,泳ぐ,VERB,GODAN_VERB,,5,{GENKI3_L05},,4ae77db0-2b66-543a-8d78-8e51c4cb0676,479,2022-09-07
to ride; to board,乗る,のる,,乗る,VERB,GODAN_VERB,,5,{GENKI3_L05},,2bcd828d-02d9-5834-8e4e-2a9fdecb800f,480,2022-09-07
to do; to perform; to play (a game),やる,やる,,,VERB,GODAN_VERB,,1,{GENKI3_L05},,43056e9d-b789-5d3b-ae22-ccd5feca4e1a,481,2022-09-07
to go out,出かける,でかける,,出かける,VERB,ICHIDAN_VERB,,5,{GENKI3_L05},,87f65ff6-cc11-5ed3-ae0f-91cd20cf2c32,482,2022-09-07
exit,出口,でぐち,,出口,NOUN,,,5,{GENKI3_L10},,6debd947-e8ba-512e-8457-8bf0e7ea9e5b,483,2022-09-07
together (with); at the same time;,一緒に,いっしょに,,一緒に,ADVERB,,,,{GENKI3_L05},,3121a086-d388-5e2d-87ea-42928a70bdb2,484,2022-09-07
extremely,すごく,すごく,,凄く,ADVERB,,,,{GENKI3_L05},,0dbac8fa-7de5-557b-a950-da804909a322,485,2022-09-07
very,とても,とても,,,ADVERB,,,5,{GENKI3_L05},,49100de9-fba3-596c-a2d2-d7d268716d82,486,2022-09-07
what kind of...,どんな,どんな,,,PRE_NOUN_ADJECTIVAL,,,3,{GENKI3_L05},,a7e30acf-baa9-5c69-b41d-b344f631a8a6,487,2022-09-07
lets...,〜ましょう,〜ましょう,,,SUFFIX,,,,{GENKI3_L05},,17cbc2b7-df6c-4861-b402-d65d6e964e35,488,2022-11-13
counter for flat objects,〜枚,〜まい,,〜枚,COUNTER,,,1,{GENKI3_L05},,acbf41df-4c3c-58fe-b99e-30d088bafb4f,489,2022-09-07
grass,草,くさ,,草,NOUN,,,4,,,705836bd-ede4-4766-b461-1b31b77670ce,490,2022-10-18
rock (too big to lift),岩,いわ,,岩,NOUN,,,3,,,3cdcdc1a-12df-4976-99f0-790caea5bb4e,491,2022-10-18
snow,雪,ゆき,,雪,NOUN,,,5,{GENKI3_L08},,1c37cf6a-0658-475d-a9c8-a4ea52137029,492,2022-10-18
Ms. (girl),〜ちゃん,ちゃん,,,SUFFIX,,,4,{GENKI3_L22},,c0e4b32f-1310-43d5-af64-b603c84c9f3a,493,2022-10-25
Mr. (boy),〜君,くん,,君,SUFFIX,,,4,{GENKI3_L14},,0671d3cc-dfba-4f30-8782-69ceb2c757d7,494,2022-10-25
Mr/Miss (honorific),〜様,さま,,様,SUFFIX,,,1,,,74cc48bc-dd21-4277-9f73-9d16c7e69fe9,495,2022-10-25
(my) dad,父,ちち,,父,NOUN,,,,{GENKI3_L07},,685db54c-3d62-4fb2-b18e-28bfdf659461,496,2022-10-25
(my) mom,母,はは,,母,NOUN,,,,{GENKI3_L07},,48985c71-3274-4715-9a7c-a7f4e61144e5,497,2022-10-25
tummy torture; food terrorism,飯テロ,めしてろ,,飯テロ,NOUN,,,,,{food},321b332a-43be-46d2-8e2a-b49a3a18fa13,498,2022-10-18
lonely; solitary,寂しい,さびしい,,寂しい,ADJECTIVE,I_ADJECTIVE,,4,{GENKI3_L09},,dd54072a-e05a-4b60-a493-578ef2cb015f,499,2022-09-07
mouth is lonely,口寂しい,くちさびしい,,口寂しい,ADJECTIVE,I_ADJECTIVE,,,,,aa063477-ef31-4780-9af0-85bc0daccbcf,500,2022-10-06
tidal wave,津波,つなみ,,津波,NOUN,,,1,,,9602b36a-fef2-58f6-a53a-84283766c73d,501,2022-09-17
typhoon,台風,たいふう,,台風,NOUN,,,4,{GENKI3_L16},,18483a29-02d3-5d72-be2f-2e865c5689a1,502,2022-09-17
earthquake,地震,じしん,,地震,NOUN,,,4,{GENKI3_L15},,932265f2-4f7c-5f7d-b31d-cb211276ae8d,503,2022-09-17
lake,湖,みずうみ,,湖,NOUN,,,4,,,890ba235-9527-4fe0-91bd-93629049bfb9,504,2022-10-09
lake (place suffix),〜湖,〜こ,,〜湖,SUFFIX,,,,,,4a460208-8302-4310-ad5a-1bddeaa9f6ed,505,2022-10-09
"rice (husked, uncooked)",米,こめ,,米,NOUN,,,4,,{food},61d1e705-cff1-4878-80a3-79621573e4d0,506,2022-10-09
matcha,抹茶,まっちゃ,,抹茶,NOUN,,,,,{food},65b11105-952e-4063-88a5-0e79208e9416,507,2022-10-11
"cooking, esp. frying",焼き,やき,,焼き,NOUN,,,,,{food},fbd864eb-69c2-42e7-8025-c8874a7adf1c,508,2022-10-25
to assist; to help,手伝う,てつだう,,手伝う,VERB,GODAN_VERB,,4,{GENKI3_L06},,efc52f0e-dabf-46c7-b2ad-26e571ae6d45,509,2022-10-12
help me please (formal),手伝ってください,てつだってください,,手伝ってください,EXPRESSION,,,,,,98e17f90-7254-4559-aaab-3994c94f4a5b,510,2022-10-12
help me please (casual),手伝って,てつだって,,手伝って,EXPRESSION,,,,,,2f9f5860-7c39-49b6-8fd2-98ec4b1cc956,511,2022-10-12
hooray,やった,やった,,,EXPRESSION,,,,,,71518b72-71c5-4db0-9e05-e23304302703,512,2022-10-23
darkness; despair,闇,やみ,,闇,NOUN,,,,,,67417de0-0d2d-4c96-8343-426adba45ecb,513,2022-10-28
wander; loiter; putter,さまよう,さまよう,,彷徨う,VERB,GODAN_VERB,,,,,5b2f7659-36f5-49eb-bfe9-7eabf7790726,514,2022-10-28
only; simply; to the extent of,だけ,だけ,,,PARTICLE,,,1,,,2041019c-3b5f-4ad6-803e-f94ca34dc725,515,2022-10-28
anticipation; looking forward,楽しみ,たのしみ,,,NOUN,,,4,{SATORI_AKIKO},,b6c9813d-5289-4b39-8a74-b5f33c33caab,516,2022-10-28
diary; journal,日記,にっき,,,NOUN,,,4,"{SATORI_AKIKO,GENKI3_L18}",,b1d00880-96a1-4022-83e8-37b3d194641a,517,2022-10-28
this morning,今朝,けさ,,,NOUN,,,5,"{SATORI_AKIKO,GENKI3_L08}",,08e9dd32-2b1b-4607-be8e-d478b4b61dcc,518,2022-10-28
"from (e.g. time, place, numerical); since",〜から,〜から,,,PARTICLE,,,,"{SATORI_AKIKO,GENKI3_L09}",,a10a6ed4-5532-49e3-b3d5-85ce530a2e68,519,2022-10-28
to (a place/a time); until,〜まで,〜まで,,迄,PARTICLE,,,,{GENKI3_L09},,7616d577-d1e9-46fa-882d-6ef09228b67e,520,2023-03-15
to fly; to soar,飛ぶ,とぶ,,,VERB,GODAN_VERB,,5,{SATORI_AKIKO},,66b9dcc9-149e-4639-812b-d3a37529ddd5,521,2022-10-28
Seattle,シアトル,しあとる,,,PROPER_NOUN,,,,{SATORI_AKIKO},"{city,place}",9e9f9643-20da-4b45-81cf-6529c352b762,522,2022-10-28
airport,空港,くうこう,,空港,NOUN,,,4,"{SATORI_AKIKO,GENKI3_L13}",{place},9faa758c-5112-402d-8ef9-fd45059aac84,523,2022-10-28
some time ago; just now,さっき,さっき,,,NOUN,,,4,{SATORI_AKIKO},,462fbcf0-f756-490d-badd-58bbaad4b8a9,524,2022-10-28
evening meal; dinner,夕食,ゆうしょく,,夕食,NOUN,,,,{SATORI_AKIKO},{food},573b3e35-e29b-43d9-897a-f1ae85712b8f,525,2022-10-28
together,一緒,いっしょ,,一緒,ADVERB,,,5,{SATORI_AKIKO},,cef0ee5e-ff0d-41de-a8e1-795266b6e565,526,2022-10-28
common carp,鯉,こい,,鯉,NOUN,,,,,{animal},40181bee-9f80-4458-b950-5a03ad5c696b,527,2022-10-30
romantic love,恋,こい,,恋,NOUN,,,3,,,c45eae5d-011d-4200-9dd7-be3ec1c2bf51,528,2022-10-30
boyfriend/girlfriend; lover,恋人,こいびと,,恋人,NOUN,,,3,,,640bcc29-e162-4c4d-ad37-fb7e38525f00,529,2022-10-30
first love; puppy love,初恋,はつこい,,初恋,NOUN,,,,,,37b16f64-6ecc-4167-a55d-eab2255d1235,530,2022-11-02
love,愛,あい,,愛,NOUN,,,3,,,5fa42b1b-fb16-434f-8764-b1106aacfe13,531,2022-10-30
to love,愛する,あいする,,愛する,VERB,AI_SURU_VERB,,3,,,72a0ccac-caea-43df-9099-076bae09c6e4,532,2022-10-30
thorn,刺,とげ,,刺,NOUN,,,1,,,9654de24-9624-4834-aec3-4d26a88c3c79,533,2022-10-30
thorny shrub; wild rose,茨,いばら,,茨,NOUN,,,,,,c108107d-4842-4ff4-ac72-a221ce7c2f91,534,2022-10-30
princess,姫,ひめ,,姫,NOUN,,,,,,b08173f1-4500-4da6-81ee-cd7421bb3686,535,2022-10-30
good; excellent; fine; agreeable,良い,よい,,良い,ADJECTIVE,I_ADJECTIVE,,5,,,bd75e0c9-27e6-4f6f-803f-bb0ee9236290,536,2022-10-30
want to do; would like to...,〜たい,〜たい,,,AUXILIARY_ADJECTIVE,I_ADJECTIVE,,,{GENKI3_L11},,e00b722d-5ec2-43b3-b972-157994823148,537,2022-10-31
fireworks,花火,はなび,,花火,NOUN,,,2,,,3bdf59a1-7f82-4e77-851b-462abfece32e,538,2022-11-03
dictionary,辞書,じしょ,,辞書,NOUN,,,5,{GENKI3_L15},,8c2f94a9-ba53-4f55-931d-ca84f5264280,539,2022-11-06
"dictionary (formal, expansive)",辞典,じてん,,辞典,NOUN,,,4,,,0840f9a3-9712-4e33-9280-6e652015cc1f,540,2022-11-06
encyclopedia,事典,じてん,,事典,NOUN,,,,,,7793dcc0-cdf5-4844-bf94-17ccfaffd08d,541,2022-11-06
word,単語,たんご,,単語,NOUN,,,3,{GENKI3_L09},,7651476c-6696-4e43-bc7b-ee17b7029ba3,542,2022-11-06
vocabulary; lexicon,語彙,ごい,,語彙,NOUN,,,1,,,cb2ffba7-427d-4fcd-a2d1-156d649a4343,543,2022-11-06
kanji,漢字,かんじ,,漢字,NOUN,,,5,{GENKI3_L06},,5963b6a2-d88d-4d1f-9ccd-97fb5a3c6991,544,2022-11-06
textbook,教科書,きょうかしょ,,教科書,NOUN,,,3,{GENKI3_L06},,02ed6978-40d0-4d0a-bf11-02cd6c60ebe0,545,2022-11-06
page,ページ,ぺえじ,,頁,NOUN,,,5,{GENKI3_L06},,8b3e9b6b-e747-431c-949e-01553221da94,546,2022-11-06
next,次,つぎ,,次,NOUN,,,5,{GENKI3_L06},,62d782c4-f391-4e33-a434-0915798f606d,547,2022-11-06
money,お金,おかね,,お金,NOUN,,,5,{GENKI3_L06},,31eeca8f-9a62-45a4-a759-50b1acb95035,548,2022-11-06
baggage,荷物,にもつ,,荷物,NOUN,,,5,{GENKI3_L06},,c0495dfb-a31f-47d9-8491-0e3d4b7784e0,549,2022-11-06
personal computer,パソコン,ぱそこん,,,NOUN,,,4,{GENKI3_L06},,fc3da5a7-9659-4c32-b8e2-63b97e9dfc1a,550,2022-11-06
shower,シャワー,しゃわあ,,,NOUN,,,5,{GENKI3_L06},,43a58336-9990-47cf-badd-e2e32efee2df,551,2022-11-06
air conditioner,エアコン,えあこん,,,NOUN,,,,{GENKI3_L06},,7e8686c0-25a5-49de-badd-05f9cb1f3e1c,552,2022-11-06
electricity; light,電気,でんき,,電気,NOUN,,,5,{GENKI3_L06},,18d88e8e-d9e0-49f6-a3c0-db51e3181bad,553,2022-11-06
train,電車,でんしゃ,,電車,NOUN,,,5,{GENKI3_L06},{transportation},57396432-edea-432f-bab5-094ddf34e462,554,2022-11-06
country; place of origin,国,くに,,国,NOUN,,,5,{GENKI3_L06},,e3f4222a-3bf1-4cbe-8962-a83b64779f7e,555,2022-11-06
this week,今週,こんしゅう,,今週,NOUN,,,5,{GENKI3_L06},,768309d9-5536-443a-8989-78d36314563c,556,2022-11-06
next week,来週,らいしゅう,,来週,NOUN,,,5,{GENKI3_L06},,04b28ec0-446d-435f-accd-03cb50aa2816,557,2022-11-06
next year,来年,らいねん,,来年,NOUN,,,,{GENKI3_L06},,ce174904-5cdd-4329-9d57-d9543413c0b8,558,2022-11-06
today; this day,本日,ほんじつ,,本日,NOUN,,,,,,81f07e4d-909b-420a-b852-d6b68564cfcc,559,2022-11-06
tough (situation); dreadful,大変,たいへん,,大変,ADJECTIVE,NA_ADJECTIVE,,5,{GENKI3_L06},,aa0dbae3-a335-41ea-b0a7-2b2a7940bcdb,560,2022-11-06
you may do + -te,〜もいいです,〜もいいです,,,SUFFIX,,,,{GENKI3_L06},,d5eb1db2-38cb-4cd8-98da-f4fab0ff12ef,561,2022-11-27
you must not do + -te,〜はいけません,〜はいけません,,,SUFFIX,,,,{GENKI3_L06},,0d505663-fd52-4597-93c9-a0a05a91eeb1,562,2022-11-27
because,〜から,〜から,,,SUFFIX,,,,{GENKI3_L06},,5870cb37-28e6-46f7-9424-2309a88bd200,563,2022-11-27
let me do...; offer assistance,〜ましょうか,〜ましょうか,,,SUFFIX,,,,{GENKI3_L06},,a0a9d716-ca40-43b1-b741-4d996bba497d,564,2022-11-27
to play; to spend time pleasantly,遊ぶ,あそぶ,,遊ぶ,VERB,GODAN_VERB,,5,{GENKI3_L06},,03d2e184-ee1d-42b4-9bd8-8f627e42b543,565,2022-11-06
to hurry,急ぐ,いそぐ,,急ぐ,VERB,GODAN_VERB,,4,{GENKI3_L06},,302c4402-8069-4dff-8849-c35b4c4e03af,566,2022-11-06
to return (a thing),返す,かえす,,返す,VERB,GODAN_VERB,,5,{GENKI3_L06},,8dd4c474-e947-4cff-a360-3d86f831245d,567,2022-11-06
to turn off; to erase,消す,けす,,消す,VERB,GODAN_VERB,,5,{GENKI3_L06},,5fdb40f9-fa56-4e1c-bb63-4b65c88d0ef8,568,2022-11-06
to die,死ぬ,しぬ,,死ぬ,VERB,GODAN_VERB,,5,{GENKI3_L06},,b398c1c2-e5e8-4d6d-ac7e-7c19c3348496,569,2022-11-03
to sit down,座る,すわる,,座る,VERB,GODAN_VERB,,5,{GENKI3_L06},,302a20f2-ce11-496b-8f9f-57f6eb69fedf,570,2022-11-06
to stand up,立つ,たつ,,立つ,VERB,GODAN_VERB,,5,{GENKI3_L06},,32a15edf-8576-4e81-8a17-4fa4de5e1a83,571,2022-11-06
to smoke; to breathe in; to sip; to absorb,吸う,すう,,吸う,VERB,GODAN_VERB,,5,,,689665c5-083d-43d5-8f42-bdde636364be,572,2022-11-07
to smoke tobacco,タバコを吸う,たばこをすう,,タバコを吸う,VERB,GODAN_VERB,,,{GENKI3_L06},,aff392d9-b36e-4db0-b277-220588c4164d,573,2022-11-06
to use,使う,つかう,,使う,VERB,GODAN_VERB,,5,{GENKI3_L06},,0b86b8fd-2de0-461b-aea3-c2407a45cfa5,574,2022-11-06
to enter,入る,はいる,,入る,VERB,GODAN_VERB,,5,{GENKI3_L06},,260b582d-9cfa-41ad-8a5c-f6d476b15cca,575,2022-11-06
to carry; to hold,持つ,もつ,,持つ,VERB,GODAN_VERB,,5,{GENKI3_L06},,30391416-f09e-42d7-8fad-3da2072345ac,576,2022-11-06
to be absent from; to rest,休む,やすむ,,休む,VERB,GODAN_VERB,,5,{GENKI3_L06},,51d61d46-90b0-4ad7-b706-3ca09d57f509,577,2022-11-06
to open (something),開ける,あける,,開ける,VERB,ICHIDAN_VERB,,5,{GENKI3_L06},,0a71641d-4eea-4402-a085-3dfc05649a85,578,2022-11-07
to close (something),閉める,しめる,,閉める,VERB,ICHIDAN_VERB,,5,{GENKI3_L06},,775ea672-e6cf-4404-8a53-4f255eb8896a,579,2022-11-07
to teach; to instruct,教える,おしえる,,教える,VERB,ICHIDAN_VERB,,5,{GENKI3_L06},,41e541a0-d1dc-4abd-995a-18c2cfb23671,580,2022-11-07
to forget; to leave behind,忘れる,わすれる,,忘れる,VERB,ICHIDAN_VERB,,5,{GENKI3_L06},,d94d586d-e5e5-4d9f-8ef7-1520f3d714cf,581,2022-11-07
to get off; to descend,降りる,おりる,,降りる,VERB,ICHIDAN_VERB,,5,{GENKI3_L06},,e876fbbd-05cd-49a3-995a-2002ec68b841,582,2022-11-07
to borrow; to rent/hire,借りる,かりる,,借りる,VERB,ICHIDAN_VERB,,5,{GENKI3_L06},,78be3afb-da4b-4e78-b019-39ba138f1c33,583,2022-11-07
to bask; to bathe in; to be flooded with,浴びる,あびる,,浴びる,VERB,ICHIDAN_VERB,,5,,,313659a3-3ae2-4a49-b5c0-bfb840178eab,584,2022-11-07
to take a shower,シャワーを浴びる,しゃわあをあびる,,シャワーを浴びる,VERB,ICHIDAN_VERB,,,{GENKI3_L06},,ff59504a-164b-44a8-b108-aed6d9525249,585,2022-11-07
to turn on (light),つける,つける,,点ける,VERB,ICHIDAN_VERB,,2,{GENKI3_L06},,c586dd61-02b7-4f20-aa46-b9af2ea9d555,586,2022-11-07
